course_id,review_platform,title,provider,school,area,subject,price,level,course_length,effort_hours,published_time,time,session_open,low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,review count,review rating,indegree,outdegree,degree,betweenness,closeness,eigenvector,transitivity,constraint,performace (t),performance (t+1),url
CourseTalk-2053,CourseTalk,Neural Networks for Machine Learning,Coursera,University of Toronto,Data Science,Machine Learning,30,NA,16,8,0,1,TRUE,0,0,1,0,1308,2,4.5,3,3,6,466.9602439,0.100792936,0.000117426,3.05E-05,0.333402656,9,4,76
CourseTalk-2053,CourseTalk,Neural Networks for Machine Learning,Coursera,University of Toronto,Data Science,Machine Learning,30,NA,16,8,0,2,FALSE,0.5,0.5,0,2,1087,2,2,0,0,0,0,1.06E-17,1.36E-05,0,0,4,10,76
CourseTalk-2053,CourseTalk,Neural Networks for Machine Learning,Coursera,University of Toronto,Data Science,Machine Learning,30,NA,16,8,0,3,TRUE,0,0,1,1,370,2,5,1,2,3,6938.083333,0,1.54E-05,4.93E-05,0.555594974,10,17,76
CourseTalk-2053,CourseTalk,Neural Networks for Machine Learning,Coursera,University of Toronto,Data Science,Machine Learning,30,NA,16,8,0,4,TRUE,0.25,0,0.75,0,283.5,4,4.25,0,0,0,0,4.92E-17,1.16E-05,0,0,17,NA,76
CourseTalk-2054,CourseTalk,Single Variable Calculus,Coursera,University of Pennsylvania,Math and Logic,Math and Logic,30,NA,5,NA,3,3,TRUE,0,0,1,1,477,1,5,2,2,4,4801.5,0,1.54E-05,4.93E-05,0.500039419,5,0,51316
CourseTalk-2055,CourseTalk,Write Like Mozart: An Introduction to Classical Music Composition,Coursera,National University of Singapore,Arts and Humanities,Music and Art,30,NA,6,6.5,1,3,TRUE,0,0,1,0,51,1,5,1,1,2,0,0,1.52E-05,4.93E-05,1.000039419,5,0,434
CourseTalk-2056,CourseTalk,Paleontology: Early Vertebrate Evolution,Coursera,University of Alberta,Life Sciences,Biology,39,NA,4,NA,4,4,TRUE,0,0,1,0,353,1,5,0,1,1,0,4.92E-17,1.85E-05,0,1.000219353,5,NA,51548
CourseTalk-2057,CourseTalk,Introduction to Complex Analysis,Coursera,Wesleyan University,Math and Logic,Math and Logic,30,Intermediate,8,NA,3,4,TRUE,0,0,1,0,771,1,5,1,1,2,118,4.30E-17,1.89E-05,7.48E-05,0.500219353,5,NA,69762
CourseTalk-2058,CourseTalk,Paleontology: Theropod Dinosaurs and the Origin of Birds,Coursera,University of Alberta,Life Sciences,Biology,39,NA,5,NA,4,3,FALSE,0,0,1,0,2027,1,5,1,1,2,2235,0,1.51E-05,4.93E-05,0.500039419,5,0,51409
CourseTalk-2059,CourseTalk,Computational Neuroscience,Coursera,University of Washington,Computer Science,Algorithms,30,Introductory,8,7,0,3,TRUE,0,0,1,0,669,1,4,2,2,4,1974.05,0,1.52E-05,4.93E-05,0.500039419,4,0,93
CourseTalk-2060,CourseTalk,Calculus: Single Variable Part 2 - Differentiation,Coursera,University of Pennsylvania,Math and Logic,Math and Logic,NA,NA,3,7,3,3,TRUE,0,0,1,0,405,1,5,2,2,4,1562,0,1.52E-05,4.93E-05,0.500039419,5,0,51311
CourseTalk-2061,CourseTalk,Inspiring Leadership through Emotional Intelligence,Coursera,Case Western Reserve University,Business,Leadership and Management,25,NA,8,3.5,0,1,TRUE,0,0.2,0.8,0.2,331.4,5,3.6,6,5,11,1107.316177,0.106960151,0.000118231,3.05E-05,0.173623042,18,13,407
CourseTalk-2061,CourseTalk,Inspiring Leadership through Emotional Intelligence,Coursera,Case Western Reserve University,Business,Leadership and Management,25,NA,8,3.5,0,2,TRUE,0,0.333333333,0.666666667,1,521.6666667,3,4.333333333,2,2,4,56.64404762,5.10E-06,4.77E-05,2.70E-05,0.500147128,13,5,407
CourseTalk-2061,CourseTalk,Inspiring Leadership through Emotional Intelligence,Coursera,Case Western Reserve University,Business,Leadership and Management,25,NA,8,3.5,0,3,TRUE,0,0,1,0,657,1,5,2,2,4,1070,0,1.51E-05,4.93E-05,0.500039419,5,4,407
CourseTalk-2061,CourseTalk,Inspiring Leadership through Emotional Intelligence,Coursera,Case Western Reserve University,Business,Leadership and Management,25,NA,8,3.5,0,4,TRUE,0,0,1,0,334,1,4,1,1,2,141,3.12E-17,1.88E-05,7.48E-05,0.500219353,4,NA,407
CourseTalk-2062,CourseTalk,Model Thinking,Coursera,University of Michigan,Social Sciences,Economics,30,NA,12,6,0,3,TRUE,0,0,1,0,303,1,5,2,2,4,537,0,1.53E-05,4.93E-05,0.500039419,5,0,50480
CourseTalk-2063,CourseTalk,Competitive Strategy,Coursera,Ludwig-Maximilians-Universit?t M?nchen,Business,Business Strategy,30,NA,6,3,1,3,TRUE,0,0,1,0,284,1,5,1,0,1,0,0,1.54E-05,0,1.000039419,5,0,50570
CourseTalk-2064,CourseTalk,Paleontology: Ancient Marine Reptiles,Coursera,University of Alberta,Life Sciences,Biology,39,NA,4,NA,4,3,FALSE,0,0,1,0,533,1,5,2,1,3,6006.833333,4.85E-17,1.51E-05,4.93E-05,0.555594974,5,0,51480
CourseTalk-2065,CourseTalk,Database Management Essentials,Coursera,University of Colorado System,Computer Science,Software Development,30,NA,7,5,3,3,TRUE,0,0,1,1,570,1,5,1,2,3,1542.733333,0,1.53E-05,4.93E-05,0.555594974,5,0,50829
CourseTalk-2066,CourseTalk,Mastering the Software Engineering Interview,Coursera,"University of California, San Diego",Computer Science,Software Development,30,Intermediate,4,3,3,3,TRUE,0,0,1,1,927,1,5,2,1,3,258,1.61E-17,1.49E-05,4.93E-05,0.555594974,5,0,50555
CourseTalk-2067,CourseTalk,Introduction to Forensic Science,Coursera,Nanyang Technological University,Life Sciences,Biology,30,NA,8,4.5,1,2,TRUE,0,0.2,0.8,0,1589.4,5,4.2,5,4,9,2255.557793,9.10E-05,4.82E-05,0.027804811,0.225201298,21,5,3613
CourseTalk-2067,CourseTalk,Introduction to Forensic Science,Coursera,Nanyang Technological University,Life Sciences,Biology,30,NA,8,4.5,1,3,TRUE,0,0,1,0,946,1,5,2,2,4,1627.8,0,1.52E-05,4.93E-05,0.500039419,5,0,3613
